content,score,at,bank,source
Boa,4,2025-01-18 05:17:34,BOA,Google Play
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18 02:33:28,BOA,Google Play
Aadan Axmed Barkhadle,5,2025-01-17 08:23:05,BOA,Google Play
😡😡😡🤬🤬🤬,1,2025-01-16 01:46:26,BOA,Google Play
Horrible customer service and app crashes Horrible!!,1,2025-01-15 02:24:17,BOA,Google Play
I love it,5,2025-01-14 00:17:47,BOA,Google Play
Best,5,2025-01-14 00:14:00,BOA,Google Play
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13 04:45:23,BOA,Google Play
Good🙏,5,2025-01-11 15:27:14,BOA,Google Play
Like to much,5,2025-01-10 23:43:49,BOA,Google Play
Thank you,5,2025-01-10 08:24:54,BOA,Google Play
Perfect,5,2025-01-09 08:02:07,BOA,Google Play
The best of best,5,2025-01-09 04:57:55,BOA,Google Play
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07 01:26:17,BOA,Google Play
Boa,5,2025-01-05 21:43:09,BOA,Google Play
Great 👍,5,2025-01-04 05:59:09,BOA,Google Play
Fast and suitable for the customers.,5,2025-01-03 21:16:44,BOA,Google Play
Good 👍,5,2025-01-03 09:59:49,BOA,Google Play
Good app and helpful,5,2025-01-03 04:51:42,BOA,Google Play
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-02 20:56:58,BOA,Google Play
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02 04:31:28,BOA,Google Play
It doesn't work at all.,2,2025-01-02 02:24:09,BOA,Google Play
this app is not available,1,2025-01-01 21:46:51,BOA,Google Play
Best,5,2025-01-01 08:59:05,BOA,Google Play
Wow what amazing,5,2024-12-30 10:45:24,BOA,Google Play
love it,5,2024-12-30 08:30:43,BOA,Google Play
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30 05:08:06,BOA,Google Play
Lemn embi yilal??,5,2024-12-30 05:01:11,BOA,Google Play
Good,5,2024-12-30 02:20:13,BOA,Google Play
It's useless app downgraded.,1,2024-12-29 02:19:05,BOA,Google Play
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27 02:28:26,BOA,Google Play
Nice,5,2024-12-26 08:09:33,BOA,Google Play
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-23 19:27:54,BOA,Google Play
አይሰራም ሼም ነው፤,1,2024-12-23 06:03:45,BOA,Google Play
Not that much bad,3,2024-12-22 00:12:44,BOA,Google Play
Fine,5,2024-12-20 15:16:46,BOA,Google Play
The dirtiest application ever seen...,1,2024-12-20 08:09:23,BOA,Google Play
Nic ap,5,2024-12-19 09:08:34,BOA,Google Play
The forest app ever,1,2024-12-19 00:07:06,BOA,Google Play
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-18 19:02:34,BOA,Google Play
Bank of abissena,1,2024-12-17 10:21:09,BOA,Google Play
Good,3,2024-12-16 08:29:33,BOA,Google Play
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16 02:02:26,BOA,Google Play
GOOD,5,2024-12-14 14:02:24,BOA,Google Play
The worst banking app ever. Never works!,1,2024-12-13 21:45:35,BOA,Google Play
Poorly functioning app,3,2024-12-13 01:55:02,BOA,Google Play
Very nice,5,2024-12-12 23:57:24,BOA,Google Play
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-10 19:08:14,BOA,Google Play
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-09 22:43:57,BOA,Google Play
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08 12:16:05,BOA,Google Play
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07 11:40:19,BOA,Google Play
Nice,5,2024-12-07 07:00:27,BOA,Google Play
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06 06:19:23,BOA,Google Play
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02 10:19:07,BOA,Google Play
My attention is very important because it will be the most difficult time for me,5,2024-11-30 09:23:48,BOA,Google Play
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-28 19:40:35,BOA,Google Play
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28 00:44:51,BOA,Google Play
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-27 23:17:48,BOA,Google Play
exellent digital transaction of money,5,2024-11-26 13:10:14,BOA,Google Play
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26 04:05:22,BOA,Google Play
Best,5,2024-11-25 08:10:50,BOA,Google Play
Great,5,2024-11-25 06:26:59,BOA,Google Play
👏👏👏,5,2024-11-24 10:31:39,BOA,Google Play
Money,5,2024-11-23 23:31:41,BOA,Google Play
It needs more improvment,2,2024-11-23 22:17:29,BOA,Google Play
Good app,5,2024-11-21 06:40:34,BOA,Google Play
ab,3,2024-11-20 11:26:08,BOA,Google Play
Ademtahir,5,2024-11-20 02:41:49,BOA,Google Play
✌️✌️,5,2024-11-20 01:25:55,BOA,Google Play
Please this app on my android phone,3,2024-11-19 22:25:05,BOA,Google Play
GOAT 🐐 🐐,5,2024-11-19 05:48:41,BOA,Google Play
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19 03:12:49,BOA,Google Play
Fast and reliable,5,2024-11-18 07:58:47,BOA,Google Play
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17 11:11:45,BOA,Google Play
Very good,5,2024-11-14 04:52:39,BOA,Google Play
One of the poorest mobile banking system,1,2024-11-13 02:35:40,BOA,Google Play
❤❤❤❤❤❤,5,2024-11-12 10:39:07,BOA,Google Play
Oene,5,2024-11-12 06:20:14,BOA,Google Play
i find it interesting specially in reciept downloading,1,2024-11-12 05:43:41,BOA,Google Play
it good,5,2024-11-12 04:50:38,BOA,Google Play
"This app crashes everytime, please fix it",1,2024-11-12 04:08:59,BOA,Google Play
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12 02:55:52,BOA,Google Play
I need a support the app is not working,5,2024-11-12 02:10:33,BOA,Google Play
Bast bank of ethiopia,5,2024-11-12 02:01:11,BOA,Google Play
Good,5,2024-11-12 01:45:45,BOA,Google Play
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12 01:15:50,BOA,Google Play
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12 01:13:20,BOA,Google Play
The worst App i have never seen like this before,1,2024-11-12 00:48:40,BOA,Google Play
Wweeeer,4,2024-11-11 23:21:44,BOA,Google Play
Infinx,5,2024-11-11 22:52:38,BOA,Google Play
Great service,5,2024-11-11 20:17:47,BOA,Google Play
👍,5,2024-11-11 02:59:32,BOA,Google Play
This app is not available on all android versions and some times it is not functional.,1,2024-11-08 03:41:15,BOA,Google Play
senayt Mesfin,4,2024-11-08 03:13:42,BOA,Google Play
Bad app vety bad.,1,2024-11-06 20:21:50,BOA,Google Play
Nice,5,2024-11-06 06:24:50,BOA,Google Play
Abessnya Banke,5,2024-11-05 04:05:11,BOA,Google Play
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04 00:45:20,BOA,Google Play
Professional on banking app,5,2024-11-01 06:08:51,BOA,Google Play
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27 13:37:31,BOA,Google Play
አይሰራም አስተካክሉት,5,2024-10-26 07:13:59,BOA,Google Play
Please try another because this app doesn't feet the need of this generation,1,2024-10-25 12:17:13,BOA,Google Play
Good,4,2024-10-25 07:40:10,BOA,Google Play
Fast transfer,5,2024-10-24 01:51:40,BOA,Google Play
"What's up I can't log in, what's wrong",5,2024-10-21 19:57:44,BOA,Google Play
Amrumehamed,1,2024-10-21 06:43:38,BOA,Google Play
Good,5,2024-10-19 06:42:22,BOA,Google Play
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18 11:22:15,BOA,Google Play
Very good,5,2024-10-18 07:02:55,BOA,Google Play
ደደገነሐ,5,2024-10-15 00:27:29,BOA,Google Play
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-13 22:06:39,BOA,Google Play
A painfully slow banking app service. Please don't make it your choice!,1,2024-10-12 23:08:25,BOA,Google Play
Good App,4,2024-10-12 07:04:14,BOA,Google Play
Best app to me,5,2024-10-11 11:16:21,BOA,Google Play
BOA,5,2024-10-11 06:31:58,BOA,Google Play
Abdulkadir,5,2024-10-10 23:28:56,BOA,Google Play
Bad,1,2024-10-10 05:17:31,BOA,Google Play
If it is possible I would gove0 star,1,2024-10-08 06:20:37,BOA,Google Play
Nise mobile bankig,4,2024-10-05 05:39:26,BOA,Google Play
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04 13:34:24,BOA,Google Play
Ok,5,2024-10-04 07:20:43,BOA,Google Play
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04 01:23:06,BOA,Google Play
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-03 23:18:27,BOA,Google Play
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-03 19:55:49,BOA,Google Play
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,1,2024-10-03 19:30:33,BOA,Google Play
Good,3,2024-10-03 08:17:09,BOA,Google Play
Worest app,1,2024-10-03 02:57:35,BOA,Google Play
The worest app ever,1,2024-10-03 02:54:58,BOA,Google Play
Very disappointing application. it's getting worst by the day. both Amole and their super app. Just abysmal. Very sad.,1,2025-10-31 09:25:05,Dashen,Google Play
"Banking made simple, smart, and safe.",5,2025-10-28 05:35:23,Dashen,Google Play
It is the best of all i liked it i used it almost 2 years. As a idea i ask dashen bank system officier please make it self registerable app,5,2025-10-27 09:37:55,Dashen,Google Play
gngu,5,2025-10-20 14:31:58,Dashen,Google Play
"The app is very good , but it does not tell the account number to which transfer is made and the transfer reciever also does not know from whom the transaction was made.Moreover it requires frequent update within short period. Hence improve it accordingly.",4,2025-09-09 12:24:44,Dashen,Google Play
"The best app and easy to use. The only draw back, it has no password reset option without going to brach. Pls modify it.",3,2025-08-24 09:32:32,Dashen,Google Play
Please enable the app for sreen shoot,1,2025-08-18 14:21:56,Dashen,Google Play
good,3,2025-08-11 06:57:40,Dashen,Google Play
good,4,2025-08-08 04:37:50,Dashen,Google Play
the best mobile banking app in Ethiopia,5,2025-07-19 05:31:07,Dashen,Google Play
ግኡድ app,5,2025-07-16 22:00:03,Dashen,Google Play
nice app,5,2025-07-16 06:23:32,Dashen,Google Play
it's awesome application but there is no available card less système,5,2025-07-11 14:20:27,Dashen,Google Play
The app suddenly stops,1,2025-06-12 02:00:48,Dashen,Google Play
nice app,4,2025-06-12 00:07:13,Dashen,Google Play
it is even super than super app,5,2025-06-11 23:28:59,Dashen,Google Play
It would be more helpful if a/c no used for transfer are saved and usable for any future time transfers,4,2025-06-09 21:27:08,Dashen,Google Play
truly one step ahead,4,2025-06-09 10:39:25,Dashen,Google Play
best,5,2025-06-04 22:34:06,Dashen,Google Play
nice application,4,2025-05-27 04:41:03,Dashen,Google Play
best,5,2025-05-22 13:11:40,Dashen,Google Play
bast smart bank sistem dashen amole dashen bamk,5,2025-05-16 23:25:53,Dashen,Google Play
best app,5,2025-05-16 06:30:27,Dashen,Google Play
ለአጠቃቀም እጅግ ቀላልና ድህንነቱ የተጠበቀ ነው።,5,2025-05-15 21:10:05,Dashen,Google Play
"Worst app possible, I don't think it gets worse than this. Least user friendly process to exchange your own money, far too many hurdles you have to get past to make a simple money transfer. Even after getting past all the hurdles you are restricted with a min and I believe a max amount of your own money you have access to, not to mention time restrictions; I wasn't able to access my money past midnight multiple times. You can't change tab to another app, having opened this without it crashing.",1,2025-05-15 03:30:37,Dashen,Google Play
I'm a Dashen Bank customer as I know its function and duty. Thanks.,5,2025-05-15 02:10:36,Dashen,Google Play
Amole is the digital mobile application what i prefer.,5,2025-05-15 01:01:15,Dashen,Google Play
nice,4,2025-05-12 10:43:20,Dashen,Google Play
best mobile banking app👍,5,2025-05-10 05:23:36,Dashen,Google Play
Complicated and fake app,1,2025-04-28 23:40:22,Dashen,Google Play
Its Good updation from Previous,3,2025-04-25 10:54:25,Dashen,Google Play
yarid dima,5,2025-04-17 10:35:48,Dashen,Google Play
Best app,5,2025-04-13 16:40:38,Dashen,Google Play
"Requires updates too frequently, often has server related issues, the fingerprint always requires updating, it's the most unreliable app I've used and always fails when you want to make urgent payments.",2,2025-04-09 23:19:27,Dashen,Google Play
dashin,3,2025-04-07 15:37:25,Dashen,Google Play
disappointed because of option to transfer cash on telebirr is limited for self only.... those and other similar given choices by the bank used us to choose this bank over others! no doubt I will be not preferring this bank with no unique incentives.,1,2025-03-29 13:42:37,Dashen,Google Play
everything is perfect,5,2025-03-29 06:33:11,Dashen,Google Play
good,4,2025-03-26 02:06:30,Dashen,Google Play
good,5,2025-03-25 23:42:08,Dashen,Google Play
Dashin Bank#1,5,2025-03-19 22:30:56,Dashen,Google Play
Both Amole & Dashen superApp are by far the worst mobile banking apps i have ever came across. if only there is 0 star option,1,2025-03-18 09:01:15,Dashen,Google Play
"funny app, so much gymnastics just to be an app for sending and receiving money.",3,2025-03-18 01:40:24,Dashen,Google Play
I use this app so many times so i like it,5,2025-03-17 06:50:55,Dashen,Google Play
Why did u change the option to transfer to other tellebirr account,1,2025-03-17 05:41:12,Dashen,Google Play
It's nice and simple to use app.,5,2025-03-16 15:19:37,Dashen,Google Play
Just 👍,5,2025-03-15 02:25:36,Dashen,Google Play
Not god its,5,2025-03-14 10:19:26,Dashen,Google Play
Regarding Internet banking i really choice a Dashen Bank and I have one recommendation for app developer shall considere the low android level means 4-6 android to adress all types of android users because now a days the current updated app can't support such android.Thanks!!!,5,2025-03-08 09:01:41,Dashen,Google Play
It doesn't work,1,2025-03-02 02:40:09,Dashen,Google Play
ምርጥ,5,2025-02-27 22:46:45,Dashen,Google Play
Best,5,2025-02-26 05:14:00,Dashen,Google Play
Please the update is refused to be download on my phone tecno f1. Please solve this issue ASAP,1,2025-02-26 04:08:17,Dashen,Google Play
Excellent app,5,2025-02-24 00:46:13,Dashen,Google Play
"Very poor service, always not responding when ever we need to transfer I rate it 0 !",1,2025-02-23 02:17:49,Dashen,Google Play
The recent update is broken. It diesn't allow to take screen shots (which by it self is not a problem) and the share button of a transaction doesn't work nor it will download the transaction receipt. I know security is especially important for banking systems but such a huge limitations on functionality will not serve the app any good. I guess the super app is the way to go.,2,2025-02-21 09:55:54,Dashen,Google Play
It is good but have so much problem ...even it say not compateble to your phone...it not easy for work ..,1,2025-02-20 09:45:12,Dashen,Google Play
Dashen bank ATM,5,2025-02-20 01:58:32,Dashen,Google Play
Good,1,2025-02-17 23:27:57,Dashen,Google Play
Good Banking App,5,2025-02-17 00:48:26,Dashen,Google Play
stay hamble,5,2025-02-13 23:58:07,Dashen,Google Play
Great,5,2025-02-13 09:15:58,Dashen,Google Play
ይሄ አሪፍ,2,2025-02-12 08:56:21,Dashen,Google Play
good app i like it but still i am confused because i cannot use prperly so Please check the app,3,2025-02-12 00:08:39,Dashen,Google Play
Very slow and it seems it needs update everytime,1,2025-02-12 00:05:25,Dashen,Google Play
Best,5,2025-02-11 23:13:49,Dashen,Google Play
Nice,5,2025-02-11 07:29:29,Dashen,Google Play
Open app amole dashin,5,2025-02-10 12:43:48,Dashen,Google Play
Akiliua,5,2025-02-10 03:35:45,Dashen,Google Play
Perfiekt,5,2025-02-09 21:08:31,Dashen,Google Play
Help,5,2025-02-08 06:49:19,Dashen,Google Play
Good app,5,2025-02-08 02:31:26,Dashen,Google Play
A very fast mobile banking app,5,2025-02-07 09:39:52,Dashen,Google Play
Good,5,2025-02-07 08:13:09,Dashen,Google Play
Good,5,2025-02-07 05:42:39,Dashen,Google Play
Good job,5,2025-02-07 04:32:00,Dashen,Google Play
Good job,5,2025-02-06 21:08:28,Dashen,Google Play
It's nice and easy to use,5,2025-02-06 20:43:04,Dashen,Google Play
Nice app,5,2025-02-06 19:54:01,Dashen,Google Play
Good app i used it always,5,2025-02-06 19:15:51,Dashen,Google Play
It is very very slow pls update,2,2025-02-05 22:32:28,Dashen,Google Play
Very slow and it seems that every update something else is not working. The latest update doesn't allow me to use biometrics anymore and maximum daily transfer to Telebirr is 5k?!,1,2025-02-04 10:00:43,Dashen,Google Play
Good app Amole Wonderful,5,2025-02-01 08:19:22,Dashen,Google Play
This app needs many modifications. It takes long time to log in to the account. It is not as fast as CBE. please Update it🙏🙏🙏,1,2025-01-31 23:19:24,Dashen,Google Play
"The app is cool, but unlike other banks they don't provide a receipt for mobile banking transactions, which makes it useless for payments that require receipt",2,2025-01-31 10:41:58,Dashen,Google Play
I am glad to customer with you .I have plan to use dube ale and amole.,5,2025-01-27 12:33:43,Dashen,Google Play
WOW that's awesome,5,2025-01-27 08:18:54,Dashen,Google Play
I cant choose select an account,1,2025-01-25 22:32:29,Dashen,Google Play
Good👍,5,2025-01-22 05:23:55,Dashen,Google Play
Good,5,2025-01-16 08:03:04,Dashen,Google Play
wow,5,2025-01-15 00:20:01,Dashen,Google Play
we needs modification at all !,1,2025-01-14 01:51:11,Dashen,Google Play
It was good at first but now the system is very bad.please try to fix it.,1,2025-01-13 19:38:48,Dashen,Google Play
Generic error how tofix,4,2025-01-05 19:54:10,Dashen,Google Play
Fast and suitable to learn.,5,2025-01-03 21:14:27,Dashen,Google Play
"The app is extremely slow, often stuck on the logo. Security is poor, requiring only username/password. This allows unauthorized transactions. A large company like yours needs stronger security, such as two-factor authentication. The app's speed lags significantly compared to others. Numerous updates are needed to improve performance and security. Currently, it's a frustrating and time-wasting experience.",1,2025-01-02 22:03:24,Dashen,Google Play
Sometimes it's soo slow,3,2025-01-01 04:28:23,Dashen,Google Play
the best app I used always,1,2024-12-31 04:33:38,Dashen,Google Play
Amole apk is ..... it's very good apk . please used amole Apk,5,2024-12-29 02:42:48,Dashen,Google Play
fast and secure app,5,2024-12-22 22:58:20,Dashen,Google Play
Ok,4,2024-12-18 04:54:28,Dashen,Google Play
I am new for this App let me to use and i will rate 5 star while i get Satisfie,3,2024-12-17 05:29:10,Dashen,Google Play
Yeb,5,2024-12-12 04:27:48,Dashen,Google Play
Good Ait service!,5,2024-12-09 04:42:42,Dashen,Google Play
Sisay mustefa abani,5,2024-12-08 13:07:10,Dashen,Google Play
Wow,5,2024-12-05 22:43:40,Dashen,Google Play
"It can't load, even in a fast network connection. This app is so bad that it needs fixing",1,2024-12-04 21:41:40,Dashen,Google Play
The best mobile banking in Ethiopia 👍👍,5,2024-12-02 22:21:07,Dashen,Google Play
Thnk you,5,2024-12-02 08:18:12,Dashen,Google Play
Nice,5,2024-11-30 11:10:21,Dashen,Google Play
I like this app b/c it has many options and easily useable,5,2024-11-28 13:34:11,Dashen,Google Play
Its nice but it does not have speed it requires a lot of patience it will not be for a problem,3,2024-11-28 11:03:51,Dashen,Google Play
It is better if he blinks (ከንግድ ባንክ666).,5,2024-11-28 08:40:13,Dashen,Google Play
Naysssss,5,2024-11-27 04:24:11,Dashen,Google Play
best,5,2024-11-27 02:26:38,Dashen,Google Play
It's good,3,2024-11-21 01:41:52,Dashen,Google Play
Big love,5,2024-11-20 01:41:35,Dashen,Google Play
Excellent,5,2024-11-16 05:50:15,Dashen,Google Play
Please decrease app size,4,2024-11-09 00:24:04,Dashen,Google Play
Nice app,5,2024-11-08 07:39:44,Dashen,Google Play
It's great,5,2024-11-08 04:36:23,Dashen,Google Play
Alem Zeleqe,3,2024-11-08 03:56:52,Dashen,Google Play
❤️,5,2024-11-08 02:09:33,Dashen,Google Play
Best,5,2024-11-06 11:10:09,Dashen,Google Play
Nice,1,2024-10-30 06:51:35,Dashen,Google Play
Great Financial App,5,2024-10-27 21:21:19,Dashen,Google Play
Deshan bank,5,2024-10-27 11:28:05,Dashen,Google Play
"Still in love with it but while the app start to open, it takes time pls upgrade & fix the bug.",5,2024-10-22 07:42:57,Dashen,Google Play
It's such an amazing app. Truly Dashen bank is always one step ahead of other banks in 🇪🇹 👍,5,2024-10-16 00:52:09,Dashen,Google Play
Good,5,2024-10-02 03:38:44,Dashen,Google Play
Best App for all users.,5,2024-10-02 00:21:28,Dashen,Google Play
I ilke very much,5,2024-09-25 02:15:27,Dashen,Google Play
"The app suffers from severe performance issues, particularly with response times. The backend seems to have high latency, as the OTP generation and delivery process consistently delays, even after the server acknowledges that it has been sent. API requests frequently fail, returning non-descriptive error messages that lack proper exception handling, making it difficult for users to understand the issue. I know you will gonne say""ehe yedekem hzb teche alteche"", but that it.",1,2024-09-12 05:38:39,Dashen,Google Play
"The security, cool, every time OTP!! The UI, let's not talk about the UI, But how the heck it says ""offline mode is not available"" something like that, when I enter more than the max amount to transfer. Fellas i am a web dev, this is bad UX. It needs update on the UX. Will see the UI later.",3,2024-09-10 11:09:00,Dashen,Google Play
Select from Sending account option not working when trying to send to other banks,2,2024-09-07 19:44:20,Dashen,Google Play
It's not working,1,2024-09-07 17:31:31,Dashen,Google Play
nice App,5,2024-09-07 07:11:20,Dashen,Google Play
የአንደኛ ቀዳሚ ምርጫችን ዳሽን ባንክ ሁልጊዜ አንድ እርምጃ ቀዳሚ። የአሞሌ አስጠቃሚ።,5,2024-09-02 23:42:47,Dashen,Google Play
best app,5,2024-08-29 12:31:51,Dashen,Google Play
በጠም ውደድኩት ስህተት ከለው በጠም መዝገቱ ደስ ብሎኛል,5,2024-08-24 13:53:37,Dashen,Google Play
🔥,4,2024-08-24 08:23:08,Dashen,Google Play
"Although the application is good, but, it is difficult to get out. The app does not work to get out with the back cursor . Fix it quickly.",1,2024-08-22 08:47:00,Dashen,Google Play
Go,3,2024-08-21 07:52:56,Dashen,Google Play
"I like thise app it is smart app,but when i make one mistake it will automatically block",5,2024-08-15 04:39:56,Dashen,Google Play
Nice,5,2024-08-14 04:52:58,Dashen,Google Play
Suaud,5,2024-08-05 05:08:34,Dashen,Google Play
wenderfull,5,2024-08-03 02:19:05,Dashen,Google Play
Nice app in Ethiopia,5,2024-08-01 11:58:57,Dashen,Google Play
Nice,5,2024-07-29 17:40:31,Dashen,Google Play
simply the best,5,2024-07-26 06:00:19,Dashen,Google Play
Very nice mob app,3,2024-07-25 20:15:16,Dashen,Google Play
nice,5,2024-07-24 03:50:44,Dashen,Google Play
Good,5,2024-07-09 02:03:10,Dashen,Google Play
Best,5,2024-07-02 04:47:01,Dashen,Google Play
"I hate this app stack and blackscreen not open as required ,normaly i resigned my job do to this app b/c our salary are depoite by dashen bank",1,2024-06-28 08:40:05,Dashen,Google Play
Wow Very Nice App,5,2024-06-22 03:18:38,Dashen,Google Play
Telebirr agent deposit is not working until now. Please fix it. Fix it fast.,5,2024-06-18 23:54:54,Dashen,Google Play
Very good,5,2024-06-16 03:26:17,Dashen,Google Play
The developers have incorporated biometric login which has made the app very convenient and user friendly. I will now increase my rating as promised,5,2024-06-14 20:49:30,Dashen,Google Play
Memekaye miliyoon girmaa,3,2024-06-14 02:55:58,Dashen,Google Play
This app is 🤩,5,2024-06-12 11:23:02,Dashen,Google Play
Be adjusted this app is not available anytime,5,2024-06-11 00:03:43,Dashen,Google Play
Super app,5,2024-06-10 07:26:02,Dashen,Google Play
"Very poor app! It locked my out without any reason, does not have any conformation or screenshots . And delay when opening of the app. It is just time wasting.",1,2024-06-09 02:59:29,Dashen,Google Play
Best app....,5,2024-06-06 01:02:51,Dashen,Google Play
wow amole,4,2024-06-03 02:05:08,Dashen,Google Play
We,1,2024-06-01 08:34:02,Dashen,Google Play
Best,5,2024-06-01 05:54:23,Dashen,Google Play
Tye app is mostly good but you should make it be able to save usernames instead of typing every time i want to login,4,2024-05-31 03:42:32,Dashen,Google Play
"It's good enough. But, there is slowing in beginning of the App....",5,2024-05-24 09:13:48,Dashen,Google Play
"Good for safety,take long way though",5,2024-05-22 12:55:34,Dashen,Google Play
😘,5,2024-05-20 09:23:39,Dashen,Google Play
Bad app that not helping me the is not login,1,2024-05-18 01:14:50,Dashen,Google Play
Good,4,2024-05-14 14:33:06,Dashen,Google Play
Best after removal of screelock password,5,2024-05-13 01:30:27,Dashen,Google Play
"I really don't get how this is the lite version and it is bigger than the og app, ah well it is what it is ig ¯⁠\⁠_😂_⁠/⁠¯",5,2024-05-10 12:04:18,Dashen,Google Play
"Dashen Bank is the gold standard of banking in Ethiopia! The mobile app makes banking convenient and efficient. Plus, the branch services is top-notch, with staff always ready to assist with a smile.",5,2024-05-10 01:53:58,Dashen,Google Play
ማይ,1,2024-05-09 09:04:11,Dashen,Google Play
Doesn't work most of the time,1,2024-05-08 23:52:43,Dashen,Google Play
that is awesome,5,2024-05-01 03:59:02,Dashen,Google Play
"It's so boring.... I don't wanna say this but this app so tough to take action. It's take long time and also it's conditional mostly it's not available, in 1 day it's work for 1 or 2 hour .... this bank so huge but de app it's not enough to define your exellence",1,2024-04-30 11:50:45,Dashen,Google Play
We,5,2024-04-28 08:06:08,Dashen,Google Play
Jafare has fyguhfiwudgg,5,2024-04-25 06:35:59,Dashen,Google Play
it's fine,5,2024-04-20 07:02:50,Dashen,Google Play
